,title,author,text,difficulty,sentences,syl_per_word,ws,ws_per_sents,not_easy_words,ttl_Chars,avg_wd_length,polysyls,monosyls,modals_per_sent,c,adj,verb,adp,adv,sconj,cconj,aux,det,avg_verb_length,avg_adj_length,avg_adv_length,flesch_score,ari_score,dale_score,smog,gunning_fog,cli,linsear_raw,linsear
0,Little Bear,"Minarik, Else Holmelund",b002_LittleBear.txt,1,57,1.1700680272108843,441,7.736842105263157,0.0,1680,3.8095238095238084,0.006802721088435374,0.8367346938775511,0.2280701754385965,"Counter({'PUNCT': 182, 'PROPN': 83, 'VERB': 80, 'PRON': 56, 'NOUN': 41, 'DET': 33, 'AUX': 30, 'ADV': 27, 'ADJ': 21, 'ADP': 20, 'CCONJ': 17, 'INTJ': 11, 'PART': 11, 'NUM': 6, 'SCONJ': 5})",0.3684210526315789,1.4035087719298245,0.3508771929824561,0.4736842105263158,0.08771929824561403,0.2982456140350877,0.5263157894736842,0.5789473684210527,4.1625,4.333333333333333,3.6666666666666665,99.9943501611171,21.811278195488715,0.38374736842105256,3.082478609884232,3.094736842105263,2.7741496598639372,7.842105263157895,2.9210526315789473
1,Are You My Mother?,"Eastman, P. D.",b003_AreYouMyMother.txt,1,77,1.1206496519721578,433,5.6233766233766245,0.04157043879907621,1442,3.3302540415704387,0.0,0.8793503480278422,0.11688311688311688,"Counter({'PUNCT': 133, 'NOUN': 85, 'DET': 74, 'SPACE': 73, 'VERB': 62, 'PRON': 60, 'AUX': 47, 'ADV': 31, 'ADP': 22, 'PART': 21, 'CCONJ': 11, 'PROPN': 10, 'ADJ': 4, 'INTJ': 3, 'SYM': 1, 'SCONJ': 1})",0.05194805194805195,0.8051948051948052,0.2857142857142857,0.4025974025974026,0.012987012987012988,0.14285714285714285,0.6103896103896104,0.9610389610389609,4.306451612903226,3.25,3.870967741935484,106.32031217042818,18.497184847485077,0.935316709156894,3.0,2.2659788248702806,-1.4818475750577367,5.623376623376624,1.8116883116883118
2,Green Eggs and Ham,"Seuss, Dr.",b004_GreenEggsAndHam.txt,1,147,1.0100125156445556,776,5.27891156462585,0.03994845360824742,2404,3.097938144329897,0.0,0.9899874843554444,0.006802721088435374,"Counter({'PUNCT': 206, 'VERB': 192, 'PRON': 158, 'ADV': 109, 'SPACE': 103, 'NOUN': 91, 'PROPN': 71, 'DET': 66, 'ADP': 64, 'CCONJ': 34, 'ADJ': 12, 'INTJ': 2})",0.08163265306122447,1.3061224489795915,0.4353741496598639,0.7414965986394558,0.0,0.23129251700680276,0.0,0.4489795918367347,3.536458333333333,4.833333333333333,3.238532110091743,116.02984593837536,17.23074444210674,0.8926200960796689,3.0,2.1275440072936393,-3.1913402061855685,5.278911564625851,1.6394557823129254
3,Put Me in the Zoo,"Lopshire, Robert.",b005_Putmeinthezoo.txt,1,25,1.0158730158730158,126,5.04,0.031746031746031744,385,3.0555555555555562,0.0,0.984126984126984,0.32,"Counter({'PRON': 30, 'VERB': 27, 'PUNCT': 26, 'ADV': 14, 'AUX': 13, 'DET': 11, 'NOUN': 11, 'ADP': 7, 'PART': 6, 'ADJ': 4, 'INTJ': 1, 'NUM': 1, 'CCONJ': 1})",0.16,1.08,0.28,0.56,0.0,0.04,0.52,0.44,3.814814814814815,4.5,3.2142857142857144,115.77654285714287,16.91166666666667,0.7512538412698413,3.0,2.0286984126984127,-3.706349206349202,5.04,1.52
4,Frog and Toad Together,"Lobel, Arnold.",b006_FrogAndToadTogether.txt,1,258,1.1030818278427206,1882,7.294573643410852,0.013283740701381507,7161,3.8049946865037203,0.006907545164718385,0.903825717321998,0.15891472868217055,"Counter({'PUNCT': 650, 'VERB': 395, 'NOUN': 271, 'DET': 220, 'PROPN': 196, 'PRON': 162, 'ADP': 154, 'ADV': 121, 'AUX': 106, 'ADJ': 100, 'CCONJ': 65, 'PART': 55, 'SCONJ': 22, 'INTJ': 14, 'NUM': 10, 'X': 1})",0.3875968992248062,1.5310077519379846,0.5968992248062015,0.4689922480620155,0.08527131782945736,0.25193798449612403,0.4108527131782946,0.8527131782945736,4.592405063291139,4.76,4.140495867768595,106.11028511644383,21.568811795137947,0.5715611183879923,3.0831116427747545,2.9231429536448936,2.5155579171094615,7.395348837209302,2.697674418604651
5,Owl at Home,"Lobel, Arnold.",b007_OwlAtHome.txt,1,201,1.127744510978044,1495,7.437810945273633,0.012040133779264214,5675,3.7959866220735785,0.006020066889632107,0.8782435129740519,0.13930348258706468,"Counter({'PUNCT': 424, 'VERB': 252, 'NOUN': 237, 'DET': 193, 'ADP': 143, 'ADV': 131, 'PRON': 131, 'AUX': 106, 'PROPN': 101, 'ADJ': 85, 'CCONJ': 51, 'PART': 37, 'SCONJ': 23, 'NUM': 10, 'INTJ': 6})",0.4228855721393035,1.2537313432835822,0.7114427860696517,0.6517412935323383,0.11442786069651742,0.2537313432835821,0.527363184079602,0.9601990049751244,4.8055555555555545,4.6,4.66412213740458,103.87843626180477,21.59800246260337,0.5590291352601542,3.077589090016781,2.9799404316211593,2.540735785953178,7.5273631840796025,2.7636815920398012
6,Hi! Fly Guy,"Arnold, Tedd.",b008_HiFlyGuy.txt,1,13,1.1585365853658536,79,6.0769230769230775,0.06329113924050632,323,4.0886075949367084,0.0,0.8414634146341463,0.0,"Counter({'PUNCT': 23, 'VERB': 16, 'PRON': 15, 'DET': 13, 'NOUN': 12, 'ADJ': 7, 'AUX': 6, 'ADP': 5, 'PROPN': 4, 'PART': 3, 'CCONJ': 1})",0.5384615384615384,1.2307692307692308,0.38461538461538464,0.0,0.0,0.07692307692307693,0.4615384615384616,1.0,5.0625,5.571428571428571,0.0,102.65472795497189,22.295803310613437,4.937282473222979,3.0,2.4560856864654337,3.370126582278477,6.0769230769230775,2.0384615384615388
7,A Tree Is a Plant,"Bulla, Clyde Robert.",b009_ATreeIsaPlant.txt,1,66,1.137214137214137,480,7.2727272727272725,0.0125,1871,3.897916666666666,0.0041666666666666675,0.8690228690228691,0.07575757575757576,"Counter({'NOUN': 133, 'DET': 96, 'PUNCT': 78, 'VERB': 66, 'ADP': 55, 'AUX': 32, 'PRON': 30, 'ADJ': 23, 'ADV': 14, 'CCONJ': 11, 'PROPN': 6, 'PART': 6, 'SCONJ': 6, 'NUM': 3})",0.3484848484848485,1.0,0.8333333333333334,0.21212121212121213,0.09090909090909093,0.16666666666666666,0.4848484848484849,1.4545454545454546,4.5606060606060606,4.521739130434782,3.928571428571429,103.24486580986584,21.995551136363634,0.5581022727272728,3.0645497224367904,2.914090909090909,3.0497499999999924,7.333333333333332,2.666666666666666
8,My Five Senses,Aliki.,b010_MyFiveSenses.txt,1,37,1.1290322580645162,310,8.378378378378379,0.022580645161290318,1040,3.3548387096774195,0.012903225806451613,0.8838709677419355,0.13513513513513514,"Counter({'VERB': 61, 'PUNCT': 58, 'PRON': 55, 'NOUN': 54, 'DET': 44, 'ADP': 21, 'AUX': 19, 'ADV': 18, 'CCONJ': 14, 'ADJ': 9, 'PART': 7, 'NUM': 6, 'SCONJ': 2})",0.2432432432432433,1.648648648648649,0.5675675675675675,0.4864864864864865,0.054054054054054064,0.3783783783783784,0.5135135135135135,1.1891891891891893,4.180327868852459,5.333333333333333,5.0555555555555545,102.81481691368789,19.990479511769834,0.7721159546643417,3.1135923668494128,3.360383609415868,0.3935483870967751,8.594594594594595,3.2972972972972974
9,Starfish,"Hurd, Edith Thacher",b011_Starfish.txt,1,50,1.0852941176470587,340,6.8,0.10882352941176472,1309,3.85,0.011764705882352941,0.9264705882352942,0.04,"Counter({'NOUN': 85, 'DET': 62, 'PUNCT': 61, 'VERB': 43, 'ADP': 31, 'PRON': 28, 'ADJ': 27, 'AUX': 21, 'ADV': 18, 'CCONJ': 16, 'SCONJ': 4, 'PART': 4, 'PROPN': 2})",0.54,0.86,0.62,0.36,0.08,0.32,0.42,1.24,4.27906976744186,5.518518518518518,4.4444444444444455,108.11711764705886,21.5335,5.6921035294117655,3.108465228909328,2.763529411764706,2.4850588235294104,6.96,2.48
